,FECHA,HSEN,HCOS,BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL
0,2018-09-01,-1.0,-1.8369701987210297e-16,0.13333333333333333,1.27,0.4,0.09999999999999999,0.06999999999999999,2.0416666666666665,12.041666666666666,15.125,135.7785714285714,26.818181818181817,21.0,4.5,1.3366666666666667,0.3333333333333333
1,2018-09-01,-0.9659258262890684,0.2588190451025203,0.11666666666666665,1.27,0.38,0.09999999999999999,0.06333333333333334,2.0,13.375,16.416666666666668,131.51571428571427,33.81818181818182,34.0,4.4,1.3366666666666667,0.35000000000000003
2,2018-09-01,-0.9659258262890681,-0.2588190451025215,0.15,1.2833333333333332,0.39,0.09999999999999999,0.05666666666666667,1.7083333333333333,11.833333333333334,14.708333333333334,141.68571428571428,23.818181818181817,19.0,4.6,1.3366666666666667,0.3833333333333333
3,2018-09-01,-0.866025403784439,0.49999999999999933,0.15,1.26,0.38,0.09999999999999999,0.08666666666666667,2.5,20.541666666666668,24.541666666666668,120.84642857142856,32.63636363636363,25.2,4.4,1.3466666666666667,0.4333333333333333
4,2018-09-01,-0.8660254037844385,-0.5000000000000004,0.15,1.2766666666666666,0.39,0.09999999999999999,0.049999999999999996,1.9166666666666667,14.75,17.75,132.63642857142858,25.818181818181817,15.8,4.4,1.3266666666666664,0.5333333333333333
5,2018-09-01,-0.7071067811865477,0.7071067811865474,0.2166666666666667,1.2566666666666666,0.48999999999999994,0.13333333333333333,0.11,8.25,50.333333333333336,62.875,95.39642857142857,29.272727272727273,15.0,4.6,1.37,0.6666666666666666
6,2018-09-01,-0.7071067811865471,-0.7071067811865479,0.16666666666666666,1.2766666666666666,0.38,0.09999999999999999,0.05000000000000001,2.8333333333333335,18.583333333333332,23.0,113.57142857142857,23.181818181818183,19.0,4.2,1.3233333333333333,0.7333333333333333
7,2018-09-01,-0.5000000000000004,0.8660254037844384,0.5166666666666667,1.2833333333333334,0.7000000000000001,0.2666666666666667,0.16666666666666666,30.208333333333332,99.66666666666667,146.04166666666666,43.62357142857143,43.45454545454545,26.0,5.2,1.4433333333333334,1.36
8,2018-09-01,-0.4999999999999997,-0.8660254037844388,0.16666666666666666,1.2866666666666666,0.34,0.09999999999999999,0.043333333333333335,3.4166666666666665,18.666666666666668,23.833333333333332,96.91142857142859,26.818181818181817,20.6,4.4,1.33,0.7499999999999999
9,2018-09-01,-0.25881904510252157,0.9659258262890681,1.2833333333333332,1.3733333333333333,0.8699999999999999,0.9333333333333332,0.2333333333333333,55.541666666666664,126.66666666666667,211.75,21.76071428571429,49.18181818181818,32.0,5.8,1.6066666666666667,3.06
10,2018-09-01,-0.25881904510252035,-0.9659258262890684,0.15,1.2933333333333332,0.33,0.09999999999999999,0.03666666666666667,3.9583333333333335,18.791666666666668,24.875,81.19714285714288,26.90909090909091,9.8,4.7,1.33,0.6666666666666666
11,2018-09-01,1.2246467991473532e-16,-1.0,0.18333333333333332,1.29,0.31,0.09999999999999999,0.043333333333333335,4.541666666666667,19.375,26.375,68.13000000000001,25.09090909090909,10.4,5.0,1.3366666666666667,0.75
12,2018-09-01,0.25881904510252074,0.9659258262890683,0.15,1.2866666666666666,0.32000000000000006,0.11666666666666665,0.049999999999999996,2.0833333333333335,17.041666666666668,20.25,61.62285714285713,23.416666666666668,10.4,4.9,1.3333333333333333,0.9333333333333332
13,2018-09-01,0.258819045102521,-0.9659258262890682,0.15,1.2866666666666668,0.32,0.11666666666666665,0.06333333333333334,4.666666666666667,20.125,27.083333333333332,54.88285714285714,21.90909090909091,12.0,5.2,1.3500000000000003,0.7666666666666666
14,2018-09-01,0.49999999999999994,0.8660254037844387,0.13333333333333333,1.2933333333333332,0.30000000000000004,0.09999999999999999,0.036666666666666674,1.5833333333333333,11.833333333333334,14.041666666666666,63.378571428571426,18.583333333333332,10.0,5.0,1.3333333333333333,0.4833333333333334
15,2018-09-01,0.5000000000000003,-0.8660254037844385,0.13333333333333333,1.2866666666666668,0.31000000000000005,0.11666666666666665,0.06333333333333334,3.875,20.0,25.916666666666668,48.481428571428566,16.636363636363637,9.4,5.2,1.3499999999999999,0.5
16,2018-09-01,0.7071067811865476,-0.7071067811865475,0.13333333333333333,1.2833333333333332,0.30000000000000004,0.09999999999999999,0.06333333333333334,2.5416666666666665,21.541666666666668,25.416666666666668,44.063571428571436,14.545454545454545,11.0,5.1,1.3466666666666667,0.4166666666666667
17,2018-09-01,0.7071067811865476,0.7071067811865476,0.15,1.2933333333333332,0.29000000000000004,0.09999999999999999,0.036666666666666674,2.0,10.0,12.958333333333334,62.37142857142858,15.833333333333334,9.0,5.1,1.33,0.3666666666666667
18,2018-09-01,0.8660254037844386,0.5000000000000001,0.11666666666666665,1.3066666666666666,0.29000000000000004,0.09999999999999999,0.03,1.4166666666666667,8.75,10.833333333333334,61.638571428571424,15.0,9.2,5.2,1.3333333333333333,0.7333333333333334
19,2018-09-01,0.8660254037844387,-0.4999999999999998,0.11666666666666665,1.2633333333333334,0.29000000000000004,0.09999999999999999,0.07,2.125,20.333333333333332,23.416666666666668,45.64142857142857,14.727272727272727,11.0,5.1,1.33,0.4166666666666667
20,2018-09-01,0.9659258262890682,0.25881904510252096,0.13333333333333333,1.3,0.28,0.09999999999999999,0.02666666666666667,1.25,8.75,10.75,59.72142857142857,15.25,10.0,5.1,1.3266666666666664,1.3166666666666667
